id,type,domain,enabled,date_added,date_modified,comment
49,0,dashboard.plex.tv,1,1660604008,1660604008,"Plex is a client–server media player system plus an ancillary software suite. - qjz9zk"
50,0,dataplicity.com,1,1660604009,1660604009,"Used to remotely control your Raspberry-Pi. - qjz9zk"
51,0,def-vef.xboxlive.com,1,1660604010,1660604010,"Owned by Microsoft. Used for Xbox updates, game downloads, acheivements unlocking etc. - qjz9zk"
52,0,delivery.vidible.tv,1,1660604011,1660604011,"Video delivery systems, popular in entertainment and news sites. - qjz9zk"
53,0,dev.virtualearth.net,1,1660604012,1660604012,"Owned by Microsoft. Used by Bing Maps to get information about various places. For example, this domain should be whitelisted in order to select a store location on costco.com.  - qjz9zk"
54,0,device.auth.xboxlive.com,1,1660604012,1660604012,"Owned by Microsoft. Used for Xbox updates, game downloads, acheivements unlocking etc. - qjz9zk"
55,0,display.ugc.bazaarvoice.com,1,1660604014,1660604014,"To display Ratings & Reviews or Questions & Answers in online stores. - qjz9zk"
56,0,displaycatalog.mp.microsoft.com,1,1660604014,1660604014,"Owned by Microsoft. Used for Xbox updates, game downloads, acheivements unlocking etc. - qjz9zk"
57,0,dl.delivery.mp.microsoft.com,1,1660604015,1660604015,"Used to deliver updates to Microsoft products. - qjz9zk"
58,0,dl.dropbox.com,1,1660604015,1660604015,"Used to download files from Dropbox - qjz9zk"
59,0,dl.dropboxusercontent.com,1,1660604016,1660604016,"Used to download files from Dropbox - qjz9zk"
60,0,dns.msftncsi.com,1,1660604017,1660604017,"Owned by Microsoft. Used to check whether the internet connection is up or not in Windows systems.  - qjz9zk"
61,0,download.sonarr.tv,1,1660604018,1660604018,"Sonarr is a PVR for Usenet and BitTorrent users. It can monitor multiple RSS feeds for new episodes of your favorite shows and will grab, sort and rename them. It can also be configured to automatically upgrade the quality of files already downloaded when a better quality format becomes available. - qjz9zk"
62,0,drift.com,1,1660604019,1660604019,"Live chat platform for websites to chat with the website owner. Blocking this domain will block chat widget. - qjz9zk"
63,0,driftt.com,1,1660604019,1660604019,"Live chat platform for websites to chat with the website owner. Blocking this domain will block chat widget. - qjz9zk"
64,0,dynupdate.no-ip.com,1,1660604020,1660604020,"No-IP offers DNS services, email, network monitoring and SSL certificates - qjz9zk"
65,0,ecn.dev.virtualearth.net,1,1660604021,1660604021,"Owned by Microsoft. Used by Bing Maps to get information about various places. For example, this domain should be whitelisted in order to select a store location on costco.com. - qjz9zk"
66,0,edge.api.brightcove.com,1,1660604021,1660604021,"Video delivery systems, popular in entertainment and news sites. - qjz9zk"
67,0,eds.xboxlive.com,1,1660604022,1660604022,"Owned by Microsoft. Used for Xbox updates, game downloads, acheivements unlocking etc. - qjz9zk"
68,0,fonts.gstatic.com,1,1660604022,1660604022,"Owned by Google. Used to deliver Google Fonts. - qjz9zk"
69,0,forums.sonarr.tv,1,1660604023,1660604023,"Sonarr is a PVR for Usenet and BitTorrent users. It can monitor multiple RSS feeds for new episodes of your favorite shows and will grab, sort and rename them. It can also be configured to automatically upgrade the quality of files already downloaded when a better quality format becomes available. - qjz9zk"
70,0,g.live.com,1,1660604023,1660604023,"Used by Microsoft for their Outlook.com and OneDrive products. Backup bitlocker recovery key to Microsoft account. - qjz9zk"
71,0,geo-prod.do.dsp.mp.microsoft.com,1,1660604025,1660604025,"Enables connections to Windows Update. - qjz9zk"
